device_id,vehicle_id,vehicle_type,region,install_date,status,issue_type,last_seen,lat,lon,temperature_c,voltage_v,camera_inward_ok,camera_outward_ok
KDC-1000,VH-5000,Innova Zenix,Jakarta,2025-08-30,offline,camera_outward_no_signal,2025-09-24 12:41:00,-6.248854765,106.8138742,37.5,12.81,TRUE,FALSE
KDC-1001,VH-5001,Nissan Livina,Jakarta,2025-08-19,healthy,,2025-09-24 20:18:00,-6.206494893,106.8522302,41.1,11.96,TRUE,TRUE
KDC-1002,VH-5002,Nissan Livina,Jakarta,2024-08-23,healthy,,2025-09-24 18:37:00,-6.225460382,106.7925825,52.2,13.03,TRUE,TRUE
KDC-1003,VH-5003,Innova Zenix,Tangerang,2024-10-20,issue,overheat,2025-09-24 14:03:00,-6.181164348,106.6045614,37.4,12.77,TRUE,TRUE
KDC-1004,VH-5004,Calya,Bekasi,2025-03-17,healthy,,2025-09-24 18:14:00,-6.134023642,106.7388553,39.1,13.17,TRUE,TRUE
KDC-1005,VH-5005,BYD M6,Jakarta,2024-06-16,healthy,,2025-09-24 4:46:00,-6.125807771,106.1629147,58.9,12.71,TRUE,TRUE
KDC-1006,VH-5006,Innova Zenix,Jakarta,2024-04-27,offline,hardware_fault,2025-09-25 10:22:00,-6.31892445,106.823834,49,13.27,TRUE,TRUE
KDC-1007,VH-5007,Calya,Jakarta,2024-06-21,healthy,,2025-09-24 21:24:00,-6.103177616,106.1641828,50,13.26,TRUE,TRUE
KDC-1008,VH-5008,Calya,Bekasi,2025-01-09,healthy,,2025-09-24 3:43:00,-6.242929879,106.8444749,53,11.91,TRUE,TRUE
KDC-1009,VH-5009,Nissan Livina,Jakarta,2025-07-20,healthy,,2025-09-25 9:34:00,-6.253549189,106.9619077,34.3,13.31,TRUE,TRUE
KDC-1010,VH-5010,Calya,Jakarta,2025-02-24,healthy,,2025-09-25 4:49:00,-6.101266635,106.7370826,36,11.24,TRUE,TRUE
KDC-1011,VH-5011,Calya,Bekasi,2025-01-08,healthy,,2025-09-25 3:35:00,-6.237770148,106.828275,35.3,12.48,TRUE,TRUE
KDC-1012,VH-5012,Innova Zenix,Depok,2025-03-07,healthy,,2025-09-25 7:18:00,-6.103796821,106.1409966,33.6,12.83,TRUE,TRUE
KDC-1013,VH-5013,Calya,Tangerang,2024-07-25,healthy,,2025-09-24 0:35:00,-6.238017672,106.9818315,49.7,11.96,TRUE,TRUE
KDC-1014,VH-5014,Innova Zenix,Bogor,2025-02-03,healthy,,2025-09-25 0:03:00,-6.250034102,106.9773102,46.5,12.98,TRUE,TRUE
KDC-1015,VH-5015,Nissan Livina,Jakarta,2024-01-11,healthy,,2025-09-24 11:12:00,-6.173685435,106.6253366,32,11.5,TRUE,TRUE
KDC-1016,VH-5016,Calya,Bogor,2024-09-14,healthy,,2025-09-24 4:55:00,-6.214224922,106.7901116,53.9,11.19,TRUE,TRUE
KDC-1017,VH-5017,Nissan Livina,Jakarta,2025-01-12,healthy,,2025-09-25 8:31:00,-6.249476252,106.7965336,35,11.46,TRUE,TRUE
KDC-1018,VH-5018,Nissan Livina,Jakarta,2025-01-15,issue,camera_inward_no_signal,2025-09-25 7:22:00,-6.264914252,107.0010993,50.4,12.62,FALSE,TRUE
KDC-1019,VH-5019,Nissan Livina,Tangerang,2025-09-01,healthy,,2025-09-24 3:48:00,-6.217628955,106.8710563,45.3,12.11,TRUE,TRUE
KDC-1020,VH-5020,BYD M6,Bekasi,2024-10-23,offline,camera_inward_no_signal,2025-09-24 3:55:00,-6.243981333,106.9774793,51,13.34,FALSE,TRUE
KDC-1021,VH-5021,BYD M6,Bekasi,2024-09-14,healthy,,2025-09-25 2:30:00,-6.244508081,107.0126155,51.5,12.87,TRUE,TRUE
KDC-1022,VH-5022,Calya,Jakarta,2025-05-05,healthy,,2025-09-24 16:38:00,-6.174568109,106.6029091,36.8,12.92,TRUE,TRUE
KDC-1023,VH-5023,Innova Zenix,Jakarta,2025-03-11,healthy,,2025-09-25 4:42:00,-6.593386491,106.8273557,36.2,13.23,TRUE,TRUE
KDC-1024,VH-5024,Calya,Jakarta,2024-05-12,healthy,,2025-09-24 1:09:00,-6.208251452,106.7962457,57.5,11.2,TRUE,TRUE
KDC-1025,VH-5025,Innova Zenix,Bekasi,2025-05-26,healthy,,2025-09-25 5:24:00,-6.24311556,106.8301875,47.7,13.43,TRUE,TRUE
